Date,Campaign name,Ad set name,Age,Gender,Amount spent (USD),Return on ad spend (ROAS),CTR (link click-through rate),Website purchase ROAS (return on advertising spend),Website purchases conversion value
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,18-24,female,0.15,0,0,,
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,18-24,male,0.06,0,0,,
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,25-34,female,0.19,0,0,,
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,25-34,male,0.22,0,0,,
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,25-34,unknown,0,,0,,
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,35-44,female,0.5,0,3.85,,
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,35-44,male,0.73,0,8.43,,
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,35-44,unknown,0.03,0,16.67,,
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,45-54,female,1.14,0,9.89,,
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,45-54,male,1.17,0,7,,
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,45-54,unknown,0.03,0,33.33,,
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,55-64,female,2.35,0,2.81,,
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,55-64,male,1.52,0,5.22,,
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,55-64,unknown,0.13,0,20,,
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,65+,female,1.73,0,11.01,,
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,65+,male,1.83,0,8.08,,
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,65+,unknown,0.03,0,0,,
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,18-24,female,0.17,0,0,,
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,18-24,male,0.29,0,1.69,,
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,18-24,unknown,0,,0,,
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,25-34,female,0.4,0,0,,
