Date,Campaign name,Ad set name,Age,Gender,Amount spent (USD),Return on ad spend (ROAS),country,audience description,Total investment,corection factor
7/10/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,18-24,female,0.15,0,US,Camping Enthusiast,0.15,3698.030035
7/11/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,18-24,female,0.03,0,US,Camping Enthusiast,0.18,3697.359828
7/10/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,18-24,female,0.17,0,US,Outdoor Activists,0.17,3697.583217
7/11/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,18-24,female,0.11,0,US,Outdoor Activists,0.28,3695.126684
7/11/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,18-24,male,0.05,0,US,Camping Enthusiast,0.11,3698.923834
7/11/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,18-24,unknown,0.01,0,US,Camping Enthusiast,0.01,3701.159273
7/10/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,18-24,unknown,0,0,US,Outdoor Activists,0,3701.382891
7/12/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.34,0,AU,"Lookalike (AU, 2%) - rainfactoryP22C",0.34,3693.787441
7/13/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.32,0,AU,"Lookalike (AU, 2%) - rainfactoryP22C",0.66,3686.653021
7/15/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.03,0,AU,"Lookalike (AU, 2%) - rainfactoryP22C",0.77,3684.203747
7/16/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.03,0,AU,"Lookalike (AU, 2%) - rainfactoryP22C",0.8,3683.536046
7/17/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.03,0,AU,"Lookalike (AU, 2%) - rainfactoryP22C",0.83,3682.868466
7/19/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0,0,AU,"Lookalike (AU, 2%) - rainfactoryP22C",0.83,3682.868466
7/20/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.01,0,AU,"Lookalike (AU, 2%) - rainfactoryP22C",0.84,3682.645966
7/22/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.01,0,AU,"Lookalike (AU, 2%) - rainfactoryP22C",0.85,3682.42348
7/24/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.01,0,AU,"Lookalike (AU, 2%) - rainfactoryP22C",0.86,3682.201007
8/2/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.06,0,AU,"Lookalike (AU, 2%) - rainfactoryP22C",1.02,3678.643268
8/4/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.08,0,AU,"Lookalike (AU, 2%) - rainfactoryP22C",0,3701.382891
