Date,Campaign name,Ad set name,Placement,Amount spent (USD),country,audience description,platform,placements,device,Total investment,return on investment,corection factor
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,1.1,US,Camping Enthusiast,facebook,feed,desktop,1.1,0.0,574.856524864177
2018-07-11,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,0.45,US,Camping Enthusiast,facebook,feed,desktop,1.55,0.0,574.6161206632316
2018-07-12,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,1.33,US,Camping Enthusiast,facebook,feed,desktop,2.88,0.0,573.9061802118332
2018-07-13,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,0.48,US,Camping Enthusiast,facebook,feed,desktop,3.36,0.0,573.6501765616869
2018-07-15,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,0.24,US,Camping Enthusiast,facebook,feed,desktop,4.04,0.0,573.2877001934502
2018-07-16,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,0.22,US,Camping Enthusiast,facebook,feed,desktop,4.26,0.0,573.170477471893
2018-07-17,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,1.46,US,Camping Enthusiast,facebook,feed,desktop,5.72,0.0,572.3931519801398
2018-07-18,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,0.78,US,Camping Enthusiast,facebook,feed,desktop,6.5,0.0,571.9783006341945
2018-07-19,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,0.07,US,Camping Enthusiast,facebook,feed,desktop,6.57,0.0,571.9410850908378
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.23,US,Outdoor Activists,facebook,feed,desktop,0.23,0.0,1167.5469238519545
2018-07-13,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.15,US,Outdoor Activists,facebook,feed,desktop,0.83,0.0,1167.5222088875214
2018-07-14,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.15,US,Outdoor Activists,facebook,feed,desktop,0.98,0.0,1167.5160302281595
2018-07-15,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.16,US,Outdoor Activists,facebook,feed,desktop,1.14,0.0,1167.5094396942138
2018-07-16,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.21,US,Outdoor Activists,facebook,feed,desktop,1.35,0.0,1167.5007896748693
2018-07-17,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.28,US,Outdoor Activists,facebook,feed,desktop,1.63,0.0,1167.4892564154327
2018-07-18,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.22,US,Outdoor Activists,facebook,feed,desktop,1.85,0.0,1167.4801946486612
2018-07-19,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.11,US,Outdoor Activists,facebook,feed,desktop,1.96,0.0,1167.475663791651
2018-07-21,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.15,US,Outdoor Activists,facebook,feed,desktop,2.38,0.0,1167.4583643175347
2018-07-22,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.16,US,Outdoor Activists,facebook,feed,desktop,2.54,0.0,1167.4517741091083
2018-07-24,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.27,US,Outdoor Activists,facebook,feed,desktop,3.02,0.0,1167.4320037070368
2018-07-25,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.41,US,Outdoor Activists,facebook,feed,desktop,3.43,0.0,1167.4151167537273
2018-07-26,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.3,US,Outdoor Activists,facebook,feed,desktop,3.73,0.0,1167.402760601186
2018-07-28,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.27,US,Outdoor Activists,facebook,feed,desktop,4.449999999999998,0.0,1167.3731063686646
2018-07-29,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.24,US,Outdoor Activists,facebook,feed,desktop,4.69,0.0,1167.363221791886
