Date,Campaign name,Ad set name,Age,Gender,Amount spent (USD),country,audience description,Total investment,Ad revenue
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,18-24,female,0.15,US,Camping Enthusiast,0.15,0.0
2018-07-11,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,18-24,female,0.03,US,Camping Enthusiast,0.18,0.0
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,18-24,female,0.17,US,Outdoor Activists,0.17,0.0
2018-07-11,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,18-24,female,0.11,US,Outdoor Activists,0.28,0.0
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,18-24,male,0.06,US,Camping Enthusiast,0.06,0.0
2018-07-11,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,18-24,male,0.05,US,Camping Enthusiast,0.11,0.0
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,18-24,male,0.29,US,Outdoor Activists,0.29,0.0
2018-07-11,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,18-24,male,0.08,US,Outdoor Activists,0.37,0.0
2018-07-11,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,18-24,unknown,0.01,US,Camping Enthusiast,0.01,0.0
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,18-24,unknown,0.0,US,Outdoor Activists,0.0,0.0
2018-07-12,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.34,AU,"Lookalike (AU, 2%) - rainfactoryP22C",0.34,0.0
2018-07-13,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.32,AU,"Lookalike (AU, 2%) - rainfactoryP22C",0.66,0.0
2018-07-14,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.08,AU,"Lookalike (AU, 2%) - rainfactoryP22C",0.74,0.0
2018-07-15,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.03,AU,"Lookalike (AU, 2%) - rainfactoryP22C",0.77,0.0
2018-07-16,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.03,AU,"Lookalike (AU, 2%) - rainfactoryP22C",0.8,0.0
2018-07-17,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.03,AU,"Lookalike (AU, 2%) - rainfactoryP22C",0.8300000000000001,0.0
2018-07-19,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.0,AU,"Lookalike (AU, 2%) - rainfactoryP22C",0.8300000000000001,0.0
2018-07-20,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.01,AU,"Lookalike (AU, 2%) - rainfactoryP22C",0.8400000000000001,0.0
2018-07-22,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.01,AU,"Lookalike (AU, 2%) - rainfactoryP22C",0.8500000000000001,0.0
2018-07-24,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.01,AU,"Lookalike (AU, 2%) - rainfactoryP22C",0.8600000000000001,0.0
2018-07-26,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.01,AU,"Lookalike (AU, 2%) - rainfactoryP22C",0.8700000000000001,0.0
2018-07-31,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.01,AU,"Lookalike (AU, 2%) - rainfactoryP22C",0.8800000000000001,0.0
2018-08-01,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.08,AU,"Lookalike (AU, 2%) - rainfactoryP22C",0.96,0.0
2018-08-02,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.06,AU,"Lookalike (AU, 2%) - rainfactoryP22C",1.02,0.0
2018-08-03,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.03,AU,"Lookalike (AU, 2%) - rainfactoryP22C",1.05,0.0
2018-08-04,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.08,AU,"Lookalike (AU, 2%) - rainfactoryP22C",0.0,0.0
2018-08-05,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.03,AU,"Lookalike (AU, 2%) - rainfactoryP22C",0.0,0.0
2018-08-06,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.2,AU,"Lookalike (AU, 2%) - rainfactoryP22C",0.0,0.0
2018-08-07,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",18-24,female,0.01,AU,"Lookalike (AU, 2%) - rainfactoryP22C",0.0,0.0
2018-07-12,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",18-24,female,0.06,AU,"Lookalike (AU, 2%) - rainfactoryS71C",0.06,0.0
2018-07-13,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",18-24,female,0.14,AU,"Lookalike (AU, 2%) - rainfactoryS71C",0.2,0.0
2018-07-14,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",18-24,female,0.2,AU,"Lookalike (AU, 2%) - rainfactoryS71C",0.4,0.0
2018-07-15,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",18-24,female,0.16,AU,"Lookalike (AU, 2%) - rainfactoryS71C",0.56,0.0
2018-07-16,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",18-24,female,0.07,AU,"Lookalike (AU, 2%) - rainfactoryS71C",0.6300000000000001,0.0
2018-07-17,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",18-24,female,0.1,AU,"Lookalike (AU, 2%) - rainfactoryS71C",0.7300000000000001,0.0
2018-07-18,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",18-24,female,0.04,AU,"Lookalike (AU, 2%) - rainfactoryS71C",0.7700000000000001,0.0
2018-07-19,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",18-24,female,0.05,AU,"Lookalike (AU, 2%) - rainfactoryS71C",0.8200000000000002,0.0
2018-07-20,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",18-24,female,0.12,AU,"Lookalike (AU, 2%) - rainfactoryS71C",0.9400000000000002,0.0
2018-07-21,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",18-24,female,0.19,AU,"Lookalike (AU, 2%) - rainfactoryS71C",1.13,0.0
2018-07-22,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",18-24,female,0.09,AU,"Lookalike (AU, 2%) - rainfactoryS71C",1.2200000000000002,0.0
2018-07-23,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",18-24,female,0.05,AU,"Lookalike (AU, 2%) - rainfactoryS71C",1.2700000000000002,0.0
2018-07-24,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",18-24,female,0.13,AU,"Lookalike (AU, 2%) - rainfactoryS71C",1.4000000000000004,0.0
2018-07-25,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",18-24,female,0.05,AU,"Lookalike (AU, 2%) - rainfactoryS71C",1.4500000000000004,0.0
2018-07-26,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",18-24,female,0.02,AU,"Lookalike (AU, 2%) - rainfactoryS71C",1.4700000000000004,0.0
2018-07-27,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",18-24,female,0.11,AU,"Lookalike (AU, 2%) - rainfactoryS71C",1.5800000000000003,0.0
2018-07-28,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",18-24,female,0.05,AU,"Lookalike (AU, 2%) - rainfactoryS71C",1.6300000000000006,0.0
2018-07-29,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",18-24,female,0.04,AU,"Lookalike (AU, 2%) - rainfactoryS71C",1.6700000000000006,0.0
2018-07-30,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",18-24,female,0.07,AU,"Lookalike (AU, 2%) - rainfactoryS71C",1.7400000000000009,0.0
2018-07-31,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",18-24,female,0.15,AU,"Lookalike (AU, 2%) - rainfactoryS71C",1.8900000000000008,0.0
2018-08-01,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",18-24,female,0.39,AU,"Lookalike (AU, 2%) - rainfactoryS71C",2.2800000000000007,0.0
2018-08-02,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",18-24,female,0.34,AU,"Lookalike (AU, 2%) - rainfactoryS71C",2.620000000000001,0.0
2018-08-03,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",18-24,female,0.37,AU,"Lookalike (AU, 2%) - rainfactoryS71C",2.9900000000000007,0.0
2018-08-04,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",18-24,female,0.29,AU,"Lookalike (AU, 2%) - rainfactoryS71C",0.0,0.0
2018-08-05,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",18-24,female,0.35,AU,"Lookalike (AU, 2%) - rainfactoryS71C",0.0,0.0
2018-08-06,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",18-24,female,0.27,AU,"Lookalike (AU, 2%) - rainfactoryS71C",0.0,0.0
2018-08-07,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",18-24,female,0.08,AU,"Lookalike (AU, 2%) - rainfactoryS71C",0.0,0.0
2018-07-12,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.0,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.0,0.0
2018-07-13,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.03,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.03,0.0
2018-07-14,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.06,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.09,0.0
2018-07-15,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.0,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.09,0.0
2018-07-16,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.0,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.09,0.0
2018-07-17,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.08,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.16999999999999998,0.0
2018-07-18,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.03,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.2,0.0
2018-07-19,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.03,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.23,0.0
2018-07-20,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.02,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.25,0.0
2018-07-21,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.06,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.30999999999999994,0.0
2018-07-22,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.04,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.3499999999999999,0.0
2018-07-23,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.03,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.3799999999999999,0.0
2018-07-24,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.05,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.4299999999999999,0.0
2018-07-26,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.03,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.4599999999999999,0.0
2018-07-28,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.07,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.5299999999999998,0.0
2018-07-30,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.0,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.5299999999999998,0.0
2018-07-31,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.02,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.5499999999999998,0.0
2018-08-01,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",18-24,female,0.1,CA,"Lookalike (CA, 2%) - rainfactoryP22C",0.6499999999999998,0.0
