Date,Campaign name,Ad set name,Placement,Amount spent (USD),country,audience description,platform,placements,device,Total investment,Ad revenue
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,1.1,US,Camping Enthusiast,facebook,feed,desktop,1.1,0.0
2018-07-11,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,0.45,US,Camping Enthusiast,facebook,feed,desktop,1.55,0.0
2018-07-12,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,1.33,US,Camping Enthusiast,facebook,feed,desktop,2.88,0.0
2018-07-13,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,0.48,US,Camping Enthusiast,facebook,feed,desktop,3.36,0.0
2018-07-14,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,0.44,US,Camping Enthusiast,facebook,feed,desktop,3.8,0.0
2018-07-15,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,0.24,US,Camping Enthusiast,facebook,feed,desktop,4.04,0.0
2018-07-16,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,0.22,US,Camping Enthusiast,facebook,feed,desktop,4.26,0.0
2018-07-17,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,1.46,US,Camping Enthusiast,facebook,feed,desktop,5.72,0.0
2018-07-18,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,0.78,US,Camping Enthusiast,facebook,feed,desktop,6.5,0.0
2018-07-19,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,0.07,US,Camping Enthusiast,facebook,feed,desktop,6.57,0.0
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.23,US,Outdoor Activists,facebook,feed,desktop,0.23,0.0
2018-07-11,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.08,US,Outdoor Activists,facebook,feed,desktop,0.31,0.0
2018-07-12,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.37,US,Outdoor Activists,facebook,feed,desktop,0.6799999999999999,0.0
2018-07-13,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.15,US,Outdoor Activists,facebook,feed,desktop,0.83,0.0
