Date,Campaign name,Ad set name,Placement,Amount spent (USD),Return on ad spend (ROAS),country,audience description,platform,placements,device,Total investment
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,1.1,0.0,US,Camping Enthusiast,facebook,feed,desktop,1.1
2018-07-11,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,0.45,0.0,US,Camping Enthusiast,facebook,feed,desktop,1.55
2018-07-12,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,1.33,0.0,US,Camping Enthusiast,facebook,feed,desktop,2.88
2018-07-13,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,0.48,0.0,US,Camping Enthusiast,facebook,feed,desktop,3.36
2018-07-14,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,0.44,0.0,US,Camping Enthusiast,facebook,feed,desktop,3.8
2018-07-15,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,0.24,0.0,US,Camping Enthusiast,facebook,feed,desktop,4.04
2018-07-16,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,0.22,0.0,US,Camping Enthusiast,facebook,feed,desktop,4.26
2018-07-17,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,1.46,0.0,US,Camping Enthusiast,facebook,feed,desktop,5.72
2018-07-18,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,0.78,0.0,US,Camping Enthusiast,facebook,feed,desktop,6.5
2018-07-19,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,0.07,0.0,US,Camping Enthusiast,facebook,feed,desktop,6.57
2018-07-10,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.23,0.0,US,Outdoor Activists,facebook,feed,desktop,0.23
2018-07-11,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.08,0.0,US,Outdoor Activists,facebook,feed,desktop,0.31
2018-07-12,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.37,0.0,US,Outdoor Activists,facebook,feed,desktop,0.6799999999999999
2018-07-13,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.15,0.0,US,Outdoor Activists,facebook,feed,desktop,0.83
2018-07-14,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.15,0.0,US,Outdoor Activists,facebook,feed,desktop,0.98
2018-07-15,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.16,0.0,US,Outdoor Activists,facebook,feed,desktop,1.14
2018-07-16,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.21,0.0,US,Outdoor Activists,facebook,feed,desktop,1.3499999999999999
2018-07-17,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.28,0.0,US,Outdoor Activists,facebook,feed,desktop,1.63
