Date,Campaign name,Ad set name,Placement,Amount spent (USD),country,audience description,platform,placements,device,Total investment,Return on ad spend (ROAS)
7/10/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,1.1,US,Camping Enthusiast,facebook,feed,desktop,1.1,0
7/11/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,0.45,US,Camping Enthusiast,facebook,feed,desktop,1.55,0
7/12/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,1.33,US,Camping Enthusiast,facebook,feed,desktop,2.88,0
7/13/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,0.48,US,Camping Enthusiast,facebook,feed,desktop,3.36,0
7/15/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,0.24,US,Camping Enthusiast,facebook,feed,desktop,4.04,0
7/16/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,0.22,US,Camping Enthusiast,facebook,feed,desktop,4.26,0
7/17/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,1.46,US,Camping Enthusiast,facebook,feed,desktop,5.72,0
7/18/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,0.78,US,Camping Enthusiast,facebook,feed,desktop,6.5,0
7/19/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,0.07,US,Camping Enthusiast,facebook,feed,desktop,6.57,0
7/10/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.23,US,Outdoor Activists,facebook,feed,desktop,0.23,0
7/13/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.15,US,Outdoor Activists,facebook,feed,desktop,0.83,0
7/14/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.15,US,Outdoor Activists,facebook,feed,desktop,0.98,0
7/15/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.16,US,Outdoor Activists,facebook,feed,desktop,1.14,0
7/16/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.21,US,Outdoor Activists,facebook,feed,desktop,1.35,0
7/17/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.28,US,Outdoor Activists,facebook,feed,desktop,1.63,0
7/18/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.22,US,Outdoor Activists,facebook,feed,desktop,1.85,0
7/19/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.11,US,Outdoor Activists,facebook,feed,desktop,1.96,0
7/21/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.15,US,Outdoor Activists,facebook,feed,desktop,2.38,0
7/22/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.16,US,Outdoor Activists,facebook,feed,desktop,2.54,0
7/24/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.27,US,Outdoor Activists,facebook,feed,desktop,3.02,0
7/25/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.41,US,Outdoor Activists,facebook,feed,desktop,3.43,0
7/26/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.3,US,Outdoor Activists,facebook,feed,desktop,3.73,0
7/28/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.27,US,Outdoor Activists,facebook,feed,desktop,4.45,0
7/29/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.24,US,Outdoor Activists,facebook,feed,desktop,4.69,0
7/31/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.26,US,Outdoor Activists,facebook,feed,desktop,5.32,0
8/1/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.5,US,Outdoor Activists,facebook,feed,desktop,5.82,0
8/3/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.21,US,Outdoor Activists,facebook,feed,desktop,6.46,0
8/4/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.34,US,Outdoor Activists,facebook,feed,desktop,6.8,0
8/5/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.34,US,Outdoor Activists,facebook,feed,desktop,7.14,0
8/6/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.57,US,Outdoor Activists,facebook,feed,desktop,7.71,0
8/7/2018,US_RCH_Campers_LeadGen,US_M/F_25-64_Outdoor Activists,facebook|feed|desktop,0.2,US,Outdoor Activists,facebook,feed,desktop,7.91,0
7/11/2018,EN_RCH_Campers_LeadGen,CA_M/F_25-64_Camping Enthusiast,facebook|feed|desktop,0.03,CA,Camping Enthusiast,facebook,feed,desktop,0.03,0
7/13/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",facebook|feed|desktop,0.69,AU,"Lookalike (AU, 2%) - rainfactoryP22C",facebook,feed,desktop,1.07,0
7/14/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",facebook|feed|desktop,0.2,AU,"Lookalike (AU, 2%) - rainfactoryP22C",facebook,feed,desktop,1.27,0
7/15/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",facebook|feed|desktop,0.14,AU,"Lookalike (AU, 2%) - rainfactoryP22C",facebook,feed,desktop,1.41,0
7/17/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",facebook|feed|desktop,0.17,AU,"Lookalike (AU, 2%) - rainfactoryP22C",facebook,feed,desktop,1.8,0
7/19/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",facebook|feed|desktop,0.05,AU,"Lookalike (AU, 2%) - rainfactoryP22C",facebook,feed,desktop,1.97,0
7/20/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",facebook|feed|desktop,0.09,AU,"Lookalike (AU, 2%) - rainfactoryP22C",facebook,feed,desktop,2.06,0
7/21/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",facebook|feed|desktop,0.04,AU,"Lookalike (AU, 2%) - rainfactoryP22C",facebook,feed,desktop,2.1,0
7/22/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",facebook|feed|desktop,0.19,AU,"Lookalike (AU, 2%) - rainfactoryP22C",facebook,feed,desktop,2.29,0
7/23/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",facebook|feed|desktop,0.28,AU,"Lookalike (AU, 2%) - rainfactoryP22C",facebook,feed,desktop,2.57,0
7/25/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",facebook|feed|desktop,0.24,AU,"Lookalike (AU, 2%) - rainfactoryP22C",facebook,feed,desktop,3,0
7/26/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",facebook|feed|desktop,0.08,AU,"Lookalike (AU, 2%) - rainfactoryP22C",facebook,feed,desktop,3.08,0
7/27/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",facebook|feed|desktop,0.41,AU,"Lookalike (AU, 2%) - rainfactoryP22C",facebook,feed,desktop,3.49,0
7/28/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",facebook|feed|desktop,0.2,AU,"Lookalike (AU, 2%) - rainfactoryP22C",facebook,feed,desktop,3.69,0
7/29/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",facebook|feed|desktop,0.21,AU,"Lookalike (AU, 2%) - rainfactoryP22C",facebook,feed,desktop,3.9,0
7/30/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",facebook|feed|desktop,1.27,AU,"Lookalike (AU, 2%) - rainfactoryP22C",facebook,feed,desktop,5.17,0
7/31/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",facebook|feed|desktop,1.47,AU,"Lookalike (AU, 2%) - rainfactoryP22C",facebook,feed,desktop,6.64,0
8/1/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",facebook|feed|desktop,1.08,AU,"Lookalike (AU, 2%) - rainfactoryP22C",facebook,feed,desktop,7.72,0
8/2/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",facebook|feed|desktop,0.47,AU,"Lookalike (AU, 2%) - rainfactoryP22C",facebook,feed,desktop,8.19,0
8/3/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",facebook|feed|desktop,0.84,AU,"Lookalike (AU, 2%) - rainfactoryP22C",facebook,feed,desktop,9.03,0
8/4/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",facebook|feed|desktop,1.19,AU,"Lookalike (AU, 2%) - rainfactoryP22C",facebook,feed,desktop,10.22,0
8/6/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",facebook|feed|desktop,2.5,AU,"Lookalike (AU, 2%) - rainfactoryP22C",facebook,feed,desktop,15.27,0
8/7/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryP22C",facebook|feed|desktop,0.93,AU,"Lookalike (AU, 2%) - rainfactoryP22C",facebook,feed,desktop,16.2,0
7/12/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",facebook|feed|desktop,0.35,AU,"Lookalike (AU, 2%) - rainfactoryS71C",facebook,feed,desktop,0.35,0
7/13/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",facebook|feed|desktop,0.23,AU,"Lookalike (AU, 2%) - rainfactoryS71C",facebook,feed,desktop,0.58,0
7/14/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",facebook|feed|desktop,0.11,AU,"Lookalike (AU, 2%) - rainfactoryS71C",facebook,feed,desktop,0.69,0
7/15/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",facebook|feed|desktop,0.51,AU,"Lookalike (AU, 2%) - rainfactoryS71C",facebook,feed,desktop,1.2,0
7/16/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",facebook|feed|desktop,0.41,AU,"Lookalike (AU, 2%) - rainfactoryS71C",facebook,feed,desktop,1.61,0
7/18/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",facebook|feed|desktop,0.12,AU,"Lookalike (AU, 2%) - rainfactoryS71C",facebook,feed,desktop,1.84,0
7/19/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",facebook|feed|desktop,0.12,AU,"Lookalike (AU, 2%) - rainfactoryS71C",facebook,feed,desktop,1.96,0
7/20/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",facebook|feed|desktop,0.03,AU,"Lookalike (AU, 2%) - rainfactoryS71C",facebook,feed,desktop,1.99,0
7/21/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",facebook|feed|desktop,0,AU,"Lookalike (AU, 2%) - rainfactoryS71C",facebook,feed,desktop,1.99,0
7/22/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",facebook|feed|desktop,0.21,AU,"Lookalike (AU, 2%) - rainfactoryS71C",facebook,feed,desktop,2.2,0
7/23/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",facebook|feed|desktop,0.32,AU,"Lookalike (AU, 2%) - rainfactoryS71C",facebook,feed,desktop,2.52,0
